Experiment -> WED
Endowment  ->   0.00
Chance to play computer ->   0.10%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  14      8      3          1            1             0.04       0.44
  14      9      7          1            1             0.04       0.48
  14     10      2          1            1             0.04       0.64
  14     11      4          1            1             0.04       0.76
  14     12      1          0            0             0.07       0.70
  15      1     12          1            0             0.12       0.98
  15      2     10          1            1             0.04       0.84
  15      3      8          1            1             0.04       0.84
  15      4     11          1            0             0.12       0.68
  15      5      6          1            1             0.04       0.65
  15      6      5          1            1             0.04       0.89
  15      7      9          1            1             0.04       0.92
  15      8      3          1            1             0.04       0.48
  15      9      7          1            1             0.04       0.52
  15     10      2          1            1             0.04       0.68
  15     11      4          0            1             0.00       0.76
  15     12      1          0            1             0.00       0.70
  16      1     12          1            1             0.04       1.02
  16      2     10          1            1             0.04       0.88
  16      3      8          0            1             0.00       0.84
  16      4     11          1            1             0.04       0.72
  16      5      6          1            1             0.04       0.69
  16      6      5          1            1             0.04       0.93
  16      7      9          1            1             0.04       0.96
  16      8      3          1            0             0.12       0.60
  16      9      7          1            1             0.04       0.56
  16     10      2          1            1             0.04       0.72
  16     11      4          1            1             0.04       0.80
  16     12      1          1            1             0.04       0.74
  17      1     12          1            0             0.12       1.14
  17      2     10          1            1             0.04       0.92
  17      3      8          0            0             0.07       0.91
  17      4     11          1            1             0.04       0.76
  17      5      6          1            1             0.04       0.73
  17      6      5          1            1             0.04       0.97
  17      7      9          1            1             0.04       1.00
  17      8      3          0            0             0.07       0.67
  17      9      7          1            1             0.04       0.60
  17     10      2          1            1             0.04       0.76
  17     11      4          1            1             0.04       0.84
  17     12      1          0            1             0.00       0.74
  18      1     12          1            1             0.04       1.18
  18      2     10          1            1             0.04       0.96
  18      3      8          0            0             0.07       0.98
  18      4     11          0            1             0.00       0.76
  18      5      6          0            1             0.00       0.73
  18      6      5          1            0             0.12       1.09
  18      7      9          1            1             0.04       1.04
  18      8      3          0            0             0.07       0.74
  18      9      7          1            1             0.04       0.64
  18     10      2          1            1             0.04       0.80
  18     11      4          1            0             0.12       0.96
  18     12      1          1            1             0.04       0.78
  19      1     12          0            1             0.00       1.18
  19      2     10          1            1             0.04       1.00
  19      3      8          0            0             0.07       1.05
  19      4     11          1            1             0.04       0.80
  19      5      6          1            1             0.04       0.77
  19      6      5          1            1             0.04       1.13
  19      7      9          1            1             0.04       1.08
  19      8      3          0            0             0.07       0.81
  19      9      7          1            1             0.04       0.68
  19     10      2          1            1             0.04       0.84
  19     11      4          1            1             0.04       1.00
  19     12      1          1            0             0.12       0.90
  20      1     12          0            1             0.00       1.18
  20      2     10          1            1             0.04       1.04
  20      3      8          0            0             0.07       1.12
  20      4     11          0            1             0.00       0.80
  20      5      6          1            1             0.04       0.81
  20      6      5          1            1             0.04       1.17
  20      7      9          1            1             0.04       1.12
  20      8      3          0            0             0.07       0.88
  20      9      7          1            1             0.04       0.72
  20     10      2          1            1             0.04       0.88
  20     11      4          1            0             0.12       1.12
  20     12      1          1            0             0.12       1.02
  21      1      9          1            1             0.04       1.22
  21      2      6          1            1             0.04       1.08
  21      3      4          1            1             0.04       1.16
  21      4      3          1            1             0.04       0.84
  21      5      8          1            1             0.04       0.85
  21      6      2          1            1             0.04       1.21
  21      7     10          1            1             0.04       1.16
  21      8      5          1            1             0.04       0.92
  21      9      1          1            1             0.04       0.76
  21     10      7          1            1             0.04       0.92
  21     11     12          0            0             0.07       1.19
  21     12     11          0            0             0.07       1.09
  22      1      9          0            1             0.00       1.22
  22      2      6          1            1             0.04       1.12
  22      3      4          0            1             0.00       1.16
  22      4      3          1            0             0.12       0.96
  22      5      8          1            0             0.12       0.97
  22      6      2          1            1             0.04       1.25
  22      7     10          1            1             0.04       1.20
  22      8      5          0            1             0.00       0.92
  22      9      1          1            0             0.12       0.88
  22     10      7          1            1             0.04       0.96
  22     11     12          1            0             0.12       1.31
  22     12     11          0            1             0.00       1.09
  23      1      9          0            1             0.00       1.22
  23      2      6          1            0             0.12       1.24
  23      3      4          0            1             0.00       1.16
  23      4      3          1            0             0.12       1.08
  23      5      8          1            0             0.12       1.09
  23      6      2          0            1             0.00       1.25
  23      7     10          1            1             0.04       1.24
  23      8      5          0            1             0.00       0.92
