Experiment -> RED
Endowment  ->   0.00
Chance to play computer ->   0.00%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  12     10      5          1            0             0.12       0.56
  12     11     14          1            0             0.12       0.88
  12     12      7          1            1             0.04       0.72
  12     13      9          0            0             0.07       0.55
  12     14     11          0            1             0.00       0.32
  13      1      8          1            1             0.04       0.68
  13      2      3          1            1             0.04       0.56
  13      3      2          1            1             0.04       0.56
  13      4      6          0            1             0.00       0.55
  13      5     10          0            1             0.00       0.28
  13      6      4          1            0             0.12       0.76
  13      7     12          1            1             0.04       0.67
  13      8      1          1            1             0.04       0.68
  13      9     13          0            0             0.07       0.62
  13     10      5          1            0             0.12       0.68
  13     11     14          1            1             0.04       0.92
  13     12      7          1            1             0.04       0.76
  13     13      9          0            0             0.07       0.62
  13     14     11          1            1             0.04       0.36
  14      1      8          1            1             0.04       0.72
  14      2      3          1            1             0.04       0.60
  14      3      2          1            1             0.04       0.60
  14      4      6          1            1             0.04       0.59
  14      5     10          1            1             0.04       0.32
  14      6      4          1            1             0.04       0.80
  14      7     12          1            1             0.04       0.71
  14      8      1          1            1             0.04       0.72
  14      9     13          1            1             0.04       0.66
  14     10      5          1            1             0.04       0.72
  14     11     14          1            1             0.04       0.96
  14     12      7          1            1             0.04       0.80
  14     13      9          1            1             0.04       0.66
  14     14     11          1            1             0.04       0.40
  15      1      8          1            1             0.04       0.76
  15      2      3          1            1             0.04       0.64
  15      3      2          1            1             0.04       0.64
  15      4      6          1            1             0.04       0.63
  15      5     10          1            1             0.04       0.36
  15      6      4          1            1             0.04       0.84
  15      7     12          1            1             0.04       0.75
  15      8      1          1            1             0.04       0.76
  15      9     13          0            0             0.07       0.73
  15     10      5          1            1             0.04       0.76
  15     11     14          1            1             0.04       1.00
  15     12      7          1            1             0.04       0.84
  15     13      9          0            0             0.07       0.73
  15     14     11          1            1             0.04       0.44
  16      1      8          1            1             0.04       0.80
  16      2      3          0            1             0.00       0.64
  16      3      2          1            0             0.12       0.76
  16      4      6          1            1             0.04       0.67
  16      5     10          1            1             0.04       0.40
  16      6      4          1            1             0.04       0.88
  16      7     12          1            1             0.04       0.79
  16      8      1          1            1             0.04       0.80
  16      9     13          1            0             0.12       0.85
  16     10      5          1            1             0.04       0.80
  16     11     14          1            1             0.04       1.04
  16     12      7          1            1             0.04       0.88
  16     13      9          0            1             0.00       0.73
  16     14     11          1            1             0.04       0.48
  17      1      8          1            1             0.04       0.84
  17      2      3          1            0             0.12       0.76
  17      3      2          0            1             0.00       0.76
  17      4      6          1            1             0.04       0.71
  17      5     10          1            1             0.04       0.44
  17      6      4          1            1             0.04       0.92
  17      7     12          1            1             0.04       0.83
  17      8      1          1            1             0.04       0.84
  17      9     13          1            1             0.04       0.89
  17     10      5          1            1             0.04       0.84
  17     11     14          1            1             0.04       1.08
  17     12      7          1            1             0.04       0.92
  17     13      9          1            1             0.04       0.77
  17     14     11          1            1             0.04       0.52
  18      1      8          1            1             0.04       0.88
  18      2      3          1            1             0.04       0.80
  18      3      2          1            1             0.04       0.80
  18      4      6          1            1             0.04       0.75
  18      5     10          1            1             0.04       0.48
  18      6      4          1            1             0.04       0.96
  18      7     12          1            1             0.04       0.87
  18      8      1          1            1             0.04       0.88
  18      9     13          0            1             0.00       0.89
  18     10      5          1            1             0.04       0.88
  18     11     14          1            1             0.04       1.12
  18     12      7          1            1             0.04       0.96
  18     13      9          1            0             0.12       0.89
  18     14     11          1            1             0.04       0.56
  19      1      8          1            1             0.04       0.92
  19      2      3          1            1             0.04       0.84
  19      3      2          1            1             0.04       0.84
  19      4      6          1            1             0.04       0.79
  19      5     10          1            1             0.04       0.52
  19      6      4          1            1             0.04       1.00
  19      7     12          1            1             0.04       0.91
  19      8      1          1            1             0.04       0.92
  19      9     13          1            1             0.04       0.93
  19     10      5          1            1             0.04       0.92
  19     11     14          1            1             0.04       1.16
  19     12      7          1            1             0.04       1.00
  19     13      9          1            1             0.04       0.93
  19     14     11          1            1             0.04       0.60
  20      1      8          1            1             0.04       0.96
  20      2      3          1            1             0.04       0.88
  20      3      2          1            1             0.04       0.88
  20      4      6          1            1             0.04       0.83
  20      5     10          1            1             0.04       0.56
  20      6      4          1            1             0.04       1.04
  20      7     12          1            1             0.04       0.95
  20      8      1          1            1             0.04       0.96
  20      9     13          1            1             0.04       0.97
  20     10      5          1            1             0.04       0.96
  20     11     14          1            1             0.04       1.20
  20     12      7          1            1             0.04       1.04
  20     13      9          1            1             0.04       0.97
  20     14     11          1            1             0.04       0.64
  21      1      6          0            1             0.00       0.96
  21      2      9          1            0             0.12       1.00
  21      3     13          0            0             0.07       0.95
  21      4     14          1            0             0.12       0.95
  21      5     10          0            1             0.00       0.56
  21      6      1          1            0             0.12       1.16
  21      7     11          1            1             0.04       0.99
  21      8     12          1            1             0.04       1.00
  21      9      2          0            1             0.00       0.97
  21     10      5          1            0             0.12       1.08
  21     11      7          1            1             0.04       1.24
  21     12      8          1            1             0.04       1.08
  21     13      3          0            0             0.07       1.04
  21     14      4          0            1             0.00       0.64
  22      1      6          0            1             0.00       0.96
  22      2      9          1            1             0.04       1.04
  22      3     13          0            1             0.00       0.95
  22      4     14          0            1             0.00       0.95
  22      5     10          0            0             0.07       0.63
  22      6      1          1            0             0.12       1.28
  22      7     11          1            1             0.04       1.03
  22      8     12          1            1             0.04       1.04
  22      9      2          1            1             0.04       1.01
  22     10      5          0            0             0.07       1.15
  22     11      7          1            1             0.04       1.28
  22     12      8          1            1             0.04       1.12
  22     13      3          1            0             0.12       1.16
  22     14      4          1            0             0.12       0.76
  23      1      6          1            1             0.04       1.00
  23      2      9          0            1             0.00       1.04
  23      3     13          1            1             0.04       0.99
  23      4     14          1            0             0.12       1.07
  23      5     10          0            0             0.07       0.70
  23      6      1          1            1             0.04       1.32
  23      7     11          1            1             0.04       1.07
  23      8     12          1            1             0.04       1.08
  23      9      2          1            0             0.12       1.13
  23     10      5          0            0             0.07       1.22
  23     11      7          1            1             0.04       1.32
  23     12      8          1            1             0.04       1.16
  23     13      3          1            1             0.04       1.20
  23     14      4          0            1             0.00       0.76
  24      1      6          1            1             0.04       1.04
  24      2      9          1            0             0.12       1.16
  24      3     13          1            0             0.12       1.11
  24      4     14          0            0             0.07       1.14
  24      5     10          0            0             0.07       0.77
  24      6      1          1            1             0.04       1.36
  24      7     11          1            1             0.04       1.11
  24      8     12          1            1             0.04       1.12
  24      9      2          0            1             0.00       1.13
  24     10      5          0            0             0.07       1.29
  24     11      7          1            1             0.04       1.36
  24     12      8          1            1             0.04       1.20
  24     13      3          0            1             0.00       1.20
  24     14      4          0            0             0.07       0.83
  25      1      6          1            1             0.04       1.08
  25      2      9          1            1             0.04       1.20
  25      3     13          0            1             0.00       1.11
  25      4     14          0            0             0.07       1.21
  25      5     10          0            0             0.07       0.84
  25      6      1          1            1             0.04       1.40
  25      7     11          1            1             0.04       1.15
  25      8     12          1            1             0.04       1.16
  25      9      2          1            1             0.04       1.17
  25     10      5          0            0             0.07       1.36
  25     11      7          1            1             0.04       1.40
  25     12      8          1            1             0.04       1.24
  25     13      3          1            0             0.12       1.32
  25     14      4          0            0             0.07       0.90
  26      1      6          1            1             0.04       1.12
  26      2      9          1            1             0.04       1.24
  26      3     13          1            1             0.04       1.15
  26      4     14          0            0             0.07       1.28
  26      5     10          0            0             0.07       0.91
  26      6      1          1            1             0.04       1.44
  26      7     11          1            1             0.04       1.19
  26      8     12          1            1             0.04       1.20
  26      9      2          1            1             0.04       1.21
  26     10      5          0            0             0.07       1.43
  26     11      7          1            1             0.04       1.44
  26     12      8          1            1             0.04       1.28
  26     13      3          1            1             0.04       1.36
  26     14      4          0            0             0.07       0.97
  27      1      6          1            1             0.04       1.16
  27      2      9          1            1             0.04       1.28
  27      3     13          1            1             0.04       1.19
  27      4     14          0            0             0.07       1.35
  27      5     10          0            0             0.07       0.98
  27      6      1          1            1             0.04       1.48
  27      7     11          1            1             0.04       1.23
  27      8     12          1            1             0.04       1.24
  27      9      2          1            1             0.04       1.25
  27     10      5          0            0             0.07       1.50
  27     11      7          1            1             0.04       1.48
  27     12      8          1            1             0.04       1.32
  27     13      3          1            1             0.04       1.40
  27     14      4          0            0             0.07       1.04
  28      1      6          1            1             0.04       1.20
  28      2      9          1            1             0.04       1.32
  28      3     13          1            1             0.04       1.23
  28      4     14          0            0             0.07       1.42
  28      5     10          0            0             0.07       1.05
  28      6      1          1            1             0.04       1.52
  28      7     11          1            0             0.12       1.35
  28      8     12          1            1             0.04       1.28
  28      9      2          1            1             0.04       1.29
  28     10      5          0            0             0.07       1.57
  28     11      7          0            1             0.00       1.48
  28     12      8          1            1             0.04       1.36
  28     13      3          1            1             0.04       1.44
  28     14      4          0            0             0.07       1.11
  29      1      6          1            1             0.04       1.24
  29      2      9          1            1             0.04       1.36
  29      3     13          1            0             0.12       1.35
  29      4     14          0            0             0.07       1.49
  29      5     10          0            0             0.07       1.12
  29      6      1          1            1             0.04       1.56
  29      7     11          1            1             0.04       1.39
  29      8     12          1            1             0.04       1.32
  29      9      2          1            1             0.04       1.33
  29     10      5          0            0             0.07       1.64
  29     11      7          1            1             0.04       1.52
  29     12      8          1            1             0.04       1.40
  29     13      3          0            1             0.00       1.44
  29     14      4          0            0             0.07       1.18
  30      1      6          1            1             0.04       1.28
  30      2      9          1            1             0.04       1.40
  30      3     13          1            1             0.04       1.39
  30      4     14          1            1             0.04       1.53
  30      5     10          1            1             0.04       1.16
  30      6      1          1            1             0.04       1.60
  30      7     11          0            1             0.00       1.39
  30      8     12          1            1             0.04       1.36
  30      9      2          1            1             0.04       1.37
  30     10      5          1            1             0.04       1.68
  30     11      7          1            0             0.12       1.64
  30     12      8          1            1             0.04       1.44
  30     13      3          1            1             0.04       1.48
  30     14      4          1            1             0.04       1.22
  31      1      5          0            1             0.00       1.28
  31      2      9          1            1             0.04       1.44
  31      3     13          1            1             0.04       1.43
  31      4     12          1            1             0.04       1.57
  31      5      1          1            0             0.12       1.28
  31      6     11          1            1             0.04       1.64
  31      7     10          1            1             0.04       1.43
  31      8     14          1            0             0.12       1.48
  31      9      2          1            1             0.04       1.41
  31     10      7          1            1             0.04       1.72
  31     11      6          1            1             0.04       1.68
  31     12      4          1            1             0.04       1.48
  31     13      3          1            1             0.04       1.52
  31     14      8          0            1             0.00       1.22
  32      1      5          1            0             0.12       1.40
  32      2      9          1            1             0.04       1.48
  32      3     13          0            1             0.00       1.43
  32      4     12          0            1             0.00       1.57
  32      5      1          0            1             0.00       1.28
  32      6     11          1            1             0.04       1.68
  32      7     10          1            1             0.04       1.47
  32      8     14          1            1             0.04       1.52
  32      9      2          1            1             0.04       1.45
  32     10      7          1            1             0.04       1.76
  32     11      6          1            1             0.04       1.72
  32     12      4          1            0             0.12       1.60
  32     13      3          1            0             0.12       1.64
  32     14      8          1            1             0.04       1.26
  33      1      5          0            0             0.07       1.47
  33      2      9          0            1             0.00       1.48
  33      3     13          1            1             0.04       1.47
  33      4     12          1            1             0.04       1.61
  33      5      1          0            0             0.07       1.35
  33      6     11          1            1             0.04       1.72
  33      7     10          0            1             0.00       1.47
  33      8     14          0            1             0.00       1.52
  33      9      2          1            0             0.12       1.57
  33     10      7          1            0             0.12       1.88
  33     11      6          1            1             0.04       1.76
  33     12      4          1            1             0.04       1.64
  33     13      3          1            1             0.04       1.68
  33     14      8          1            0             0.12       1.38
  34      1      5          0            0             0.07       1.54
  34      2      9          0            0             0.07       1.55
  34      3     13          1            0             0.12       1.59
  34      4     12          1            1             0.04       1.65
  34      5      1          0            0             0.07       1.42
  34      6     11          1            0             0.12       1.84
  34      7     10          1            1             0.04       1.51
  34      8     14          0            0             0.07       1.59
  34      9      2          0            0             0.07       1.64
  34     10      7          1            1             0.04       1.92
  34     11      6          0            1             0.00       1.76
  34     12      4          1            1             0.04       1.68
  34     13      3          0            1             0.00       1.68
  34     14      8          0            0             0.07       1.45
  35      1      5          0            0             0.07       1.61
  35      2      9          0            0             0.07       1.62
  35      3     13          0            1             0.00       1.59
  35      4     12          1            1             0.04       1.69
  35      5      1          0            0             0.07       1.49
  35      6     11          1            1             0.04       1.88
  35      7     10          1            1             0.04       1.55
  35      8     14          0            0             0.07       1.66
  35      9      2          0            0             0.07       1.71
  35     10      7          1            1             0.04       1.96
  35     11      6          1            1             0.04       1.80
  35     12      4          1            1             0.04       1.72
  35     13      3          1            0             0.12       1.80
  35     14      8          0            0             0.07       1.52
  36      1      5          0            0             0.07       1.68
  36      2      9          0            0             0.07       1.69
  36      3     13          1            1             0.04       1.63
  36      4     12          1            1             0.04       1.73
  36      5      1          0            0             0.07       1.56
  36      6     11          1            1             0.04       1.92
  36      7     10          1            1             0.04       1.59
  36      8     14          0            0             0.07       1.73
  36      9      2          0            0             0.07       1.78
  36     10      7          1            1             0.04       2.00
  36     11      6          1            1             0.04       1.84
  36     12      4          1            1             0.04       1.76
  36     13      3          1            1             0.04       1.84
  36     14      8          0            0             0.07       1.59
  37      1      5          0            0             0.07       1.75
  37      2      9          0            0             0.07       1.76
  37      3     13          1            1             0.04       1.67
  37      4     12          1            1             0.04       1.77
  37      5      1          0            0             0.07       1.63
  37      6     11          1            1             0.04       1.96
  37      7     10          1            1             0.04       1.63
  37      8     14          0            0             0.07       1.80
  37      9      2          0            0             0.07       1.85
  37     10      7          1            1             0.04       2.04
  37     11      6          1            1             0.04       1.88
  37     12      4          1            1             0.04       1.80
  37     13      3          1            1             0.04       1.88
  37     14      8          0            0             0.07       1.66
  38      1      5          0            0             0.07       1.82
  38      2      9          0            0             0.07       1.83
  38      3     13          1            1             0.04       1.71
  38      4     12          1            1             0.04       1.81
  38      5      1          0            0             0.07       1.70
  38      6     11          1            1             0.04       2.00
  38      7     10          1            1             0.04       1.67
  38      8     14          0            0             0.07       1.87
  38      9      2          0            0             0.07       1.92
  38     10      7          1            1             0.04       2.08
  38     11      6          1            1             0.04       1.92
  38     12      4          1            1             0.04       1.84
  38     13      3          1            1             0.04       1.92
  38     14      8          0            0             0.07       1.73
  39      1      5          0            0             0.07       1.89
  39      2      9          0            0             0.07       1.90
  39      3     13          1            1             0.04       1.75
  39      4     12          1            1             0.04       1.85
  39      5      1          0            0             0.07       1.77
  39      6     11          1            1             0.04       2.04
  39      7     10          1            1             0.04       1.71
  39      8     14          0            0             0.07       1.94
  39      9      2          0            0             0.07       1.99
  39     10      7          1            1             0.04       2.12
  39     11      6          1            1             0.04       1.96
  39     12      4          1            1             0.04       1.88
  39     13      3          1            1             0.04       1.96
  39     14      8          0            0             0.07       1.80
  40      1      5          0            1             0.00       1.89
  40      2      9          0            1             0.00       1.90
  40      3     13          1            1             0.04       1.79
  40      4     12          1            1             0.04       1.89
  40      5      1          1            0             0.12       1.89
  40      6     11          1            1             0.04       2.08
  40      7     10          1            1             0.04       1.75
  40      8     14          0            1             0.00       1.94
  40      9      2          1            0             0.12       2.11
  40     10      7          1            1             0.04       2.16
  40     11      6          1            1             0.04       2.00
  40     12      4          1            1             0.04       1.92
  40     13      3          1            1             0.04       2.00
  40     14      8          1            0             0.12       1.92
  41      1      3          0            0             0.07       1.96
  41      2     11          1            1             0.04       1.94
  41      3      1          0            0             0.07       1.86
  41      4     12          1            0             0.12       2.01
  41      5     14          1            0             0.12       2.01
  41      6     10          1            1             0.04       2.12
  41      7      8          1            0             0.12       1.87
  41      8      7          0            1             0.00       1.94
  41      9     13          0            0             0.07       2.18
  41     10      6          1            1             0.04       2.20
  41     11      2          1            1             0.04       2.04
  41     12      4          0            1             0.00       1.92
  41     13      9          0            0             0.07       2.07
  41     14      5          0            1             0.00       1.92
  42      1      3          0            0             0.07       2.03
  42      2     11          0            1             0.00       1.94
  42      3      1          0            0             0.07       1.93
  42      4     12          0            1             0.00       2.01
  42      5     14          0            1             0.00       2.01
  42      6     10          1            1             0.04       2.16
  42      7      8          1            0             0.12       1.99
  42      8      7          0            1             0.00       1.94
  42      9     13          0            0             0.07       2.25
  42     10      6          1            1             0.04       2.24
  42     11      2          1            0             0.12       2.16
  42     12      4          1            0             0.12       2.04
  42     13      9          0            0             0.07       2.14
  42     14      5          1            0             0.12       2.04
  43      1      3          0            0             0.07       2.10
  43      2     11          0            1             0.00       1.94
  43      3      1          0            0             0.07       2.00
  43      4     12          0            0             0.07       2.08
  43      5     14          0            0             0.07       2.08
  43      6     10          1            1             0.04       2.20
  43      7      8          1            0             0.12       2.11
  43      8      7          0            1             0.00       1.94
  43      9     13          0            0             0.07       2.32
  43     10      6          1            1             0.04       2.28
  43     11      2          1            0             0.12       2.28
  43     12      4          0            0             0.07       2.11
  43     13      9          0            0             0.07       2.21
  43     14      5          0            0             0.07       2.11
  44      1      3          0            0             0.07       2.17
  44      2     11          1            1             0.04       1.98
  44      3      1          0            0             0.07       2.07
  44      4     12          0            0             0.07       2.15
  44      5     14          0            0             0.07       2.15
  44      6     10          1            1             0.04       2.24
  44      7      8          1            1             0.04       2.15
  44      8      7          1            1             0.04       1.98
  44      9     13          0            0             0.07       2.39
  44     10      6          1            1             0.04       2.32
  44     11      2          1            1             0.04       2.32
  44     12      4          0            0             0.07       2.18
  44     13      9          0            0             0.07       2.28
  44     14      5          0            0             0.07       2.18
  45      1      3          0            0             0.07       2.24
  45      2     11          1            0             0.12       2.10
  45      3      1          0            0             0.07       2.14
  45      4     12          0            0             0.07       2.22
  45      5     14          0            0             0.07       2.22
  45      6     10          1            1             0.04       2.28
  45      7      8          0            1             0.00       2.15
  45      8      7          1            0             0.12       2.10
