Experiment -> PARTY2
Endowment  ->   0.00
Chance to play computer ->  50.00%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  12     10      0          0            1             0.00       0.52
  12     11      6          0            1             0.00       0.59
  12     12      0          1            1             0.04       0.48
  12     13      0          0            1             0.00       0.68
  12     14      0          1            1             0.04       0.80
  13      1      5          0            0             0.07       0.63
  13      2      0          1            1             0.04       0.72
  13      3      0          0            0             0.07       0.61
  13      4      0          1            0             0.12       0.88
  13      5      1          0            0             0.07       0.85
  13      6     11          1            1             0.04       0.73
  13      7      0          0            0             0.07       0.88
  13      8      0          0            1             0.00       0.72
  13      9      0          1            1             0.04       0.79
  13     10      0          0            0             0.07       0.59
  13     11      6          1            1             0.04       0.63
  13     12      0          1            1             0.04       0.52
  13     13      0          0            0             0.07       0.75
  13     14      0          0            1             0.00       0.80
  14      1      5          0            0             0.07       0.70
  14      2      0          1            1             0.04       0.76
  14      3      0          0            0             0.07       0.68
  14      4      0          0            1             0.00       0.88
  14      5      1          0            0             0.07       0.92
  14      6     11          0            1             0.00       0.73
  14      7      0          1            0             0.12       1.00
  14      8      0          0            0             0.07       0.79
  14      9      0          1            1             0.04       0.83
  14     10      0          0            0             0.07       0.66
  14     11      6          1            0             0.12       0.75
  14     12      0          0            1             0.00       0.52
  14     13      0          0            0             0.07       0.82
  14     14      0          1            0             0.12       0.92
  15      1      5          0            0             0.07       0.77
  15      2      0          1            1             0.04       0.80
  15      3      0          1            0             0.12       0.80
  15      4      0          1            0             0.12       1.00
  15      5      1          0            0             0.07       0.99
  15      6     11          1            0             0.12       0.85
  15      7      0          1            1             0.04       1.04
  15      8      0          1            0             0.12       0.91
  15      9      0          0            1             0.00       0.83
  15     10      0          0            0             0.07       0.73
  15     11      6          0            1             0.00       0.75
  15     12      0          0            0             0.07       0.59
  15     13      0          0            0             0.07       0.89
  15     14      0          0            1             0.00       0.92
  16      1      5          0            0             0.07       0.84
  16      2      0          1            1             0.04       0.84
  16      3      0          0            1             0.00       0.80
  16      4      0          0            1             0.00       1.00
  16      5      1          0            0             0.07       1.06
  16      6     11          1            1             0.04       0.89
  16      7      0          0            1             0.00       1.04
  16      8      0          0            1             0.00       0.91
  16      9      0          0            0             0.07       0.90
  16     10      0          0            0             0.07       0.80
  16     11      6          1            1             0.04       0.79
  16     12      0          1            0             0.12       0.71
  16     13      0          0            0             0.07       0.96
  16     14      0          1            0             0.12       1.04
  17      1      5          0            0             0.07       0.91
  17      2      0          0            1             0.00       0.84
  17      3      0          0            0             0.07       0.87
  17      4      0          1            0             0.12       1.12
  17      5      1          0            0             0.07       1.13
  17      6     11          0            1             0.00       0.89
  17      7      0          0            0             0.07       1.11
  17      8      0          1            0             0.12       1.03
  17      9      0          0            0             0.07       0.97
  17     10      0          0            0             0.07       0.87
  17     11      6          1            0             0.12       0.91
  17     12      0          1            1             0.04       0.75
  17     13      0          0            0             0.07       1.03
  17     14      0          0            1             0.00       1.04
  18      1      5          0            0             0.07       0.98
  18      2      0          1            0             0.12       0.96
  18      3      0          0            0             0.07       0.94
  18      4      0          0            1             0.00       1.12
  18      5      1          0            0             0.07       1.20
  18      6     11          1            1             0.04       0.93
  18      7      0          1            0             0.12       1.23
  18      8      0          1            1             0.04       1.07
  18      9      0          1            0             0.12       1.09
  18     10      0          0            0             0.07       0.94
  18     11      6          1            1             0.04       0.95
  18     12      0          1            1             0.04       0.79
  18     13      0          0            0             0.07       1.10
  18     14      0          1            0             0.12       1.16
  19      1      5          0            0             0.07       1.05
  19      2      0          0            1             0.00       0.96
  19      3      0          0            0             0.07       1.01
  19      4      0          0            0             0.07       1.19
  19      5      1          0            0             0.07       1.27
  19      6     11          1            1             0.04       0.97
  19      7      0          1            1             0.04       1.27
  19      8      0          1            1             0.04       1.11
  19      9      0          1            1             0.04       1.13
  19     10      0          0            0             0.07       1.01
  19     11      6          1            1             0.04       0.99
  19     12      0          1            1             0.04       0.83
  19     13      0          0            0             0.07       1.17
  19     14      0          0            1             0.00       1.16
  20      1      5          0            0             0.07       1.12
  20      2      0          1            0             0.12       1.08
  20      3      0          0            0             0.07       1.08
  20      4      0          0            0             0.07       1.26
  20      5      1          0            0             0.07       1.34
  20      6     11          1            1             0.04       1.01
  20      7      0          1            1             0.04       1.31
  20      8      0          1            1             0.04       1.15
  20      9      0          0            1             0.00       1.13
  20     10      0          0            0             0.07       1.08
  20     11      6          1            1             0.04       1.03
  20     12      0          1            1             0.04       0.87
  20     13      0          1            0             0.12       1.29
  20     14      0          1            0             0.12       1.28
  21      1      4          0            1             0.00       1.12
  21      2      0          1            0             0.12       1.20
  21      3      7          0            1             0.00       1.08
  21      4      1          1            0             0.12       1.38
  21      5      0          1            0             0.12       1.46
  21      6      0          1            0             0.12       1.13
  21      7      3          1            0             0.12       1.43
  21      8     11          1            0             0.12       1.27
  21      9      0          1            0             0.12       1.25
  21     10      0          0            0             0.07       1.15
  21     11      8          0            1             0.00       1.03
  21     12      0          1            0             0.12       0.99
  21     13      0          0            0             0.07       1.36
  21     14      0          1            0             0.12       1.40
  22      1      4          1            0             0.12       1.24
  22      2      0          1            1             0.04       1.24
  22      3      7          1            0             0.12       1.20
  22      4      1          0            1             0.00       1.38
  22      5      0          1            1             0.04       1.50
  22      6      0          1            1             0.04       1.17
  22      7      3          0            1             0.00       1.43
  22      8     11          0            1             0.00       1.27
  22      9      0          0            1             0.00       1.25
  22     10      0          0            0             0.07       1.22
  22     11      8          1            0             0.12       1.15
  22     12      0          1            1             0.04       1.03
  22     13      0          0            0             0.07       1.43
  22     14      0          0            1             0.00       1.40
  23      1      4          0            0             0.07       1.31
  23      2      0          0            1             0.00       1.24
  23      3      7          1            1             0.04       1.24
  23      4      1          0            0             0.07       1.45
  23      5      0          1            1             0.04       1.54
  23      6      0          0            1             0.00       1.17
  23      7      3          1            1             0.04       1.47
  23      8     11          0            0             0.07       1.34
  23      9      0          1            0             0.12       1.37
  23     10      0          0            0             0.07       1.29
  23     11      8          0            0             0.07       1.22
  23     12      0          1            1             0.04       1.07
  23     13      0          0            0             0.07       1.50
  23     14      0          1            0             0.12       1.52
  24      1      4          0            0             0.07       1.38
  24      2      0          1            0             0.12       1.36
  24      3      7          1            1             0.04       1.28
  24      4      1          0            0             0.07       1.52
  24      5      0          0            1             0.00       1.54
  24      6      0          1            0             0.12       1.29
  24      7      3          1            1             0.04       1.51
  24      8     11          0            0             0.07       1.41
  24      9      0          1            1             0.04       1.41
  24     10      0          0            0             0.07       1.36
  24     11      8          0            0             0.07       1.29
  24     12      0          0            1             0.00       1.07
  24     13      0          0            0             0.07       1.57
  24     14      0          0            1             0.00       1.52
  25      1      4          0            0             0.07       1.45
  25      2      0          1            1             0.04       1.40
  25      3      7          1            1             0.04       1.32
  25      4      1          0            0             0.07       1.59
  25      5      0          0            0             0.07       1.61
  25      6      0          0            1             0.00       1.29
  25      7      3          1            1             0.04       1.55
  25      8     11          0            0             0.07       1.48
  25      9      0          1            1             0.04       1.45
  25     10      0          0            0             0.07       1.43
  25     11      8          0            0             0.07       1.36
  25     12      0          0            0             0.07       1.14
  25     13      0          0            0             0.07       1.64
  25     14      0          1            0             0.12       1.64
  26      1      4          0            0             0.07       1.52
  26      2      0          0            1             0.00       1.40
  26      3      7          1            1             0.04       1.36
  26      4      1          0            0             0.07       1.66
  26      5      0          1            0             0.12       1.73
  26      6      0          1            0             0.12       1.41
  26      7      3          1            1             0.04       1.59
  26      8     11          0            0             0.07       1.55
  26      9      0          1            1             0.04       1.49
  26     10      0          0            0             0.07       1.50
  26     11      8          0            0             0.07       1.43
  26     12      0          1            0             0.12       1.26
  26     13      0          0            0             0.07       1.71
  26     14      0          0            1             0.00       1.64
  27      1      4          0            0             0.07       1.59
  27      2      0          1            0             0.12       1.52
  27      3      7          1            1             0.04       1.40
  27      4      1          0            0             0.07       1.73
  27      5      0          1            1             0.04       1.77
  27      6      0          0            1             0.00       1.41
  27      7      3          1            1             0.04       1.63
  27      8     11          0            0             0.07       1.62
  27      9      0          1            1             0.04       1.53
  27     10      0          0            0             0.07       1.57
  27     11      8          0            0             0.07       1.50
  27     12      0          1            1             0.04       1.30
  27     13      0          0            0             0.07       1.78
  27     14      0          1            0             0.12       1.76
  28      1      4          0            0             0.07       1.66
  28      2      0          0            1             0.00       1.52
  28      3      7          1            1             0.04       1.44
  28      4      1          0            0             0.07       1.80
  28      5      0          1            1             0.04       1.81
  28      6      0          1            0             0.12       1.53
  28      7      3          1            1             0.04       1.67
  28      8     11          0            0             0.07       1.69
  28      9      0          1            1             0.04       1.57
  28     10      0          0            0             0.07       1.64
  28     11      8          0            0             0.07       1.57
  28     12      0          1            1             0.04       1.34
  28     13      0          0            0             0.07       1.85
  28     14      0          0            1             0.00       1.76
  29      1      4          0            0             0.07       1.73
  29      2      0          1            0             0.12       1.64
  29      3      7          1            1             0.04       1.48
  29      4      1          0            0             0.07       1.87
  29      5      0          0            1             0.00       1.81
  29      6      0          0            1             0.00       1.53
  29      7      3          1            1             0.04       1.71
  29      8     11          0            1             0.00       1.69
  29      9      0          1            1             0.04       1.61
  29     10      0          0            0             0.07       1.71
  29     11      8          1            0             0.12       1.69
  29     12      0          1            1             0.04       1.38
  29     13      0          0            0             0.07       1.92
  29     14      0          1            0             0.12       1.88
  30      1      4          0            1             0.00       1.73
  30      2      0          1            1             0.04       1.68
  30      3      7          1            1             0.04       1.52
  30      4      1          1            0             0.12       1.99
  30      5      0          0            0             0.07       1.88
  30      6      0          1            0             0.12       1.65
  30      7      3          1            1             0.04       1.75
  30      8     11          1            1             0.04       1.73
  30      9      0          0            1             0.00       1.61
  30     10      0          0            0             0.07       1.78
  30     11      8          1            1             0.04       1.73
  30     12      0          1            1             0.04       1.42
  30     13      0          1            0             0.12       2.04
  30     14      0          0            1             0.00       1.88
  31      1      8          0            1             0.00       1.73
  31      2      0          1            0             0.12       1.80
  31      3      0          0            0             0.07       1.59
  31      4      0          1            0             0.12       2.11
  31      5      0          1            0             0.12       2.00
  31      6      7          1            1             0.04       1.69
  31      7      6          1            1             0.04       1.79
  31      8      1          1            0             0.12       1.85
  31      9      0          1            0             0.12       1.73
  31     10      0          0            0             0.07       1.85
  31     11      0          0            0             0.07       1.80
  31     12      0          0            0             0.07       1.49
  31     13      0          0            0             0.07       2.11
  31     14      0          1            0             0.12       2.00
  32      1      8          1            0             0.12       1.85
  32      2      0          0            1             0.00       1.80
  32      3      0          0            0             0.07       1.66
  32      4      0          0            1             0.00       2.11
  32      5      0          1            1             0.04       2.04
  32      6      7          0            1             0.00       1.69
  32      7      6          1            0             0.12       1.91
  32      8      1          0            1             0.00       1.85
  32      9      0          1            1             0.04       1.77
  32     10      0          0            0             0.07       1.92
  32     11      0          0            0             0.07       1.87
  32     12      0          1            0             0.12       1.61
  32     13      0          0            0             0.07       2.18
  32     14      0          0            1             0.00       2.00
  33      1      8          0            0             0.07       1.92
  33      2      0          1            0             0.12       1.92
  33      3      0          0            0             0.07       1.73
  33      4      0          0            0             0.07       2.18
  33      5      0          0            1             0.00       2.04
  33      6      7          1            0             0.12       1.81
  33      7      6          0            1             0.00       1.91
  33      8      1          0            0             0.07       1.92
  33      9      0          0            1             0.00       1.77
  33     10      0          0            0             0.07       1.99
  33     11      0          0            0             0.07       1.94
  33     12      0          0            1             0.00       1.61
  33     13      0          0            0             0.07       2.25
  33     14      0          1            0             0.12       2.12
  34      1      8          0            0             0.07       1.99
  34      2      0          0            1             0.00       1.92
  34      3      0          0            0             0.07       1.80
  34      4      0          0            0             0.07       2.25
  34      5      0          0            0             0.07       2.11
  34      6      7          1            1             0.04       1.85
  34      7      6          1            1             0.04       1.95
  34      8      1          0            0             0.07       1.99
  34      9      0          1            0             0.12       1.89
  34     10      0          0            0             0.07       2.06
  34     11      0          0            0             0.07       2.01
  34     12      0          1            0             0.12       1.73
  34     13      0          0            0             0.07       2.32
  34     14      0          0            1             0.00       2.12
  35      1      8          0            0             0.07       2.06
  35      2      0          1            0             0.12       2.04
  35      3      0          0            0             0.07       1.87
  35      4      0          0            0             0.07       2.32
  35      5      0          0            0             0.07       2.18
  35      6      7          1            0             0.12       1.97
  35      7      6          0            1             0.00       1.95
  35      8      1          0            0             0.07       2.06
  35      9      0          0            1             0.00       1.89
  35     10      0          0            0             0.07       2.13
  35     11      0          0            0             0.07       2.08
  35     12      0          0            1             0.00       1.73
  35     13      0          0            0             0.07       2.39
  35     14      0          1            0             0.12       2.24
  36      1      8          0            0             0.07       2.13
  36      2      0          0            1             0.00       2.04
  36      3      0          0            0             0.07       1.94
  36      4      0          0            0             0.07       2.39
  36      5      0          0            0             0.07       2.25
  36      6      7          1            1             0.04       2.01
  36      7      6          1            1             0.04       1.99
  36      8      1          0            0             0.07       2.13
  36      9      0          1            0             0.12       2.01
  36     10      0          0            0             0.07       2.20
  36     11      0          0            0             0.07       2.15
  36     12      0          1            0             0.12       1.85
  36     13      0          0            0             0.07       2.46
  36     14      0          0            1             0.00       2.24
  37      1      8          0            0             0.07       2.20
  37      2      0          1            0             0.12       2.16
  37      3      0          0            0             0.07       2.01
  37      4      0          0            0             0.07       2.46
  37      5      0          0            0             0.07       2.32
  37      6      7          0            1             0.00       2.01
  37      7      6          1            0             0.12       2.11
  37      8      1          0            0             0.07       2.20
  37      9      0          0            1             0.00       2.01
  37     10      0          0            0             0.07       2.27
  37     11      0          0            0             0.07       2.22
  37     12      0          0            1             0.00       1.85
  37     13      0          0            0             0.07       2.53
  37     14      0          1            0             0.12       2.36
  38      1      8          0            0             0.07       2.27
  38      2      0          0            1             0.00       2.16
  38      3      0          0            0             0.07       2.08
  38      4      0          0            0             0.07       2.53
  38      5      0          0            0             0.07       2.39
  38      6      7          1            1             0.04       2.05
  38      7      6          1            1             0.04       2.15
  38      8      1          0            0             0.07       2.27
  38      9      0          1            0             0.12       2.13
  38     10      0          0            0             0.07       2.34
  38     11      0          0            0             0.07       2.29
  38     12      0          1            0             0.12       1.97
  38     13      0          0            0             0.07       2.60
  38     14      0          0            1             0.00       2.36
  39      1      8          0            1             0.00       2.27
  39      2      0          1            0             0.12       2.28
  39      3      0          0            0             0.07       2.15
  39      4      0          0            0             0.07       2.60
  39      5      0          0            0             0.07       2.46
  39      6      7          1            0             0.12       2.17
  39      7      6          0            1             0.00       2.15
  39      8      1          1            0             0.12       2.39
  39      9      0          0            1             0.00       2.13
  39     10      0          0            0             0.07       2.41
  39     11      0          1            0             0.12       2.41
  39     12      0          0            1             0.00       1.97
  39     13      0          0            0             0.07       2.67
  39     14      0          1            0             0.12       2.48
  40      1      8          1            1             0.04       2.31
  40      2      0          1            1             0.04       2.32
  40      3      0          0            0             0.07       2.22
  40      4      0          1            0             0.12       2.72
  40      5      0          1            0             0.12       2.58
  40      6      7          1            1             0.04       2.21
  40      7      6          1            1             0.04       2.19
  40      8      1          1            1             0.04       2.43
  40      9      0          1            0             0.12       2.25
  40     10      0          0            0             0.07       2.48
  40     11      0          1            1             0.04       2.45
  40     12      0          1            0             0.12       2.09
  40     13      0          1            0             0.12       2.79
  40     14      0          0            1             0.00       2.48
  41      1      0          0            0             0.07       2.38
  41      2      0          1            0             0.12       2.44
  41      3      0          0            0             0.07       2.29
  41      4     11          1            0             0.12       2.84
  41      5     13          1            0             0.12       2.70
  41      6      0          1            0             0.12       2.33
  41      7      0          1            0             0.12       2.31
  41      8      0          0            0             0.07       2.50
  41      9      0          1            0             0.12       2.37
  41     10      0          0            0             0.07       2.55
  41     11      4          0            1             0.00       2.45
  41     12      0          1            0             0.12       2.21
  41     13      5          0            1             0.00       2.79
  41     14      0          1            0             0.12       2.60
  42      1      0          0            0             0.07       2.45
  42      2      0          0            1             0.00       2.44
  42      3      0          0            0             0.07       2.36
  42      4     11          0            1             0.00       2.84
  42      5     13          0            1             0.00       2.70
  42      6      0          1            1             0.04       2.37
  42      7      0          0            1             0.00       2.31
  42      8      0          0            0             0.07       2.57
  42      9      0          0            1             0.00       2.37
  42     10      0          0            0             0.07       2.62
  42     11      4          1            0             0.12       2.57
  42     12      0          1            1             0.04       2.25
  42     13      5          1            0             0.12       2.91
  42     14      0          0            1             0.00       2.60
  43      1      0          0            0             0.07       2.52
  43      2      0          1            0             0.12       2.56
  43      3      0          0            0             0.07       2.43
  43      4     11          0            0             0.07       2.91
  43      5     13          0            0             0.07       2.77
  43      6      0          0            1             0.00       2.37
  43      7      0          0            0             0.07       2.38
  43      8      0          0            0             0.07       2.64
  43      9      0          1            0             0.12       2.49
  43     10      0          0            0             0.07       2.69
  43     11      4          0            0             0.07       2.64
  43     12      0          1            1             0.04       2.29
  43     13      5          0            0             0.07       2.98
  43     14      0          1            0             0.12       2.72
  44      1      0          0            0             0.07       2.59
  44      2      0          0            1             0.00       2.56
  44      3      0          0            0             0.07       2.50
  44      4     11          0            0             0.07       2.98
  44      5     13          0            0             0.07       2.84
  44      6      0          1            0             0.12       2.49
  44      7      0          1            0             0.12       2.50
  44      8      0          0            0             0.07       2.71
  44      9      0          0            1             0.00       2.49
  44     10      0          0            0             0.07       2.76
  44     11      4          0            0             0.07       2.71
  44     12      0          1            1             0.04       2.33
  44     13      5          0            0             0.07       3.05
  44     14      0          0            1             0.00       2.72
  45      1      0          0            0             0.07       2.66
  45      2      0          1            0             0.12       2.68
  45      3      0          0            0             0.07       2.57
  45      4     11          0            0             0.07       3.05
  45      5     13          0            0             0.07       2.91
  45      6      0          0            1             0.00       2.49
  45      7      0          1            1             0.04       2.54
  45      8      0          0            0             0.07       2.78
